State,District,District code,Latitude,Longitude,Population,Housholds_with_Electric_Lighting,Households_with_Internet,Sex_Ratio,Litrecay_Ratio
Bihar,Araria,209,26.211528119180603,87.30766554934816,2811569,43290,2561,90.0,40.0
Bihar,Kishanganj,210,26.324336758321294,87.95045007235886,1690400,58718,1093,90.0,40.0
Bihar,Purnia,211,25.81714801901739,87.40447606973065,3264619,86058,4170,90.0,40.0
Bihar,Katihar,212,25.56565356037151,87.70466083591326,3071029,60900,2941,90.0,40.0
Bihar,Madhepura,213,25.77341929460581,86.8978443983403,2001762,23236,1397,90.0,40.0
Bihar,Saharsa,214,25.821270696721303,86.54670819672135,1900661,41342,1668,90.0,40.0
Bihar,Darbhanga,215,26.146187719298258,85.97387352472099,3937385,127442,6280,90.0,50.0
Bihar,Muzaffarpur,216,26.18664417177915,85.32745092024543,4801062,180651,10290,90.0,50.0
Bihar,Gopalganj,217,26.44874364161851,84.34636127167629,2562012,69375,3707,100.0,50.0
Bihar,Siwan,218,26.1736372013652,84.33766552901022,3330464,52935,3834,100.0,60.0
Bihar,Saran,219,25.89656077844312,84.82266287425155,3951862,94787,4509,100.0,50.0
Bihar,Vaishali,220,25.8134703180212,85.39247597173153,3495021,70001,4810,90.0,60.0
Bihar,Samastipur,221,25.793205563909765,85.94833323308269,4261566,88021,5379,90.0,50.0
Bihar,Begusarai,222,25.54302613168723,86.12560144032932,2970541,120373,4644,90.0,50.0
Bihar,Khagaria,223,25.53558891454964,86.56593256351037,1666886,40641,1580,90.0,50.0
Bihar,Bhagalpur,224,25.277192885375477,87.04213814229242,3037766,174534,6764,90.0,50.0
Bihar,Banka,225,24.832355642023337,86.8664916342413,2034763,62359,1704,90.0,50.0
Bihar,Munger,226,25.198537962962963,86.54173672839504,1367765,90461,2653,90.0,60.0
Bihar,Lakhisarai,227,25.183449321266963,86.12825701357468,1000912,44491,1186,90.0,50.0
Bihar,Sheikhpura,228,25.12472436548223,85.77839390862943,636342,20065,631,90.0,50.0
Bihar,Nalanda,229,25.229345508982053,85.48053113772461,2877653,101378,4156,90.0,50.0
Bihar,Patna,230,25.40297114503818,85.3198433587787,5838465,546859,40692,90.0,60.0
Bihar,Bhojpur,231,25.50666439393939,84.49407803030304,2728407,62153,3661,90.0,60.0
Bihar,Buxar,232,25.48593018867924,84.08808081760995,1706352,46760,1784,90.0,60.0
Bihar,Rohtas,234,24.99170460829495,83.9350762672811,2959918,114893,4594,90.0,60.0
Bihar,Aurangabad,235,24.774291867469877,84.45986024096379,2540073,44456,2362,90.0,60.0
Maharashtra,Aurangabad,235,20.0979228832952,75.32072196796334,2540073,44456,2362,90.0,60.0
Bihar,Aurangabad,515,24.774291867469877,84.45986024096379,3701282,589477,23258,90.0,70.0
Maharashtra,Aurangabad,515,20.0979228832952,75.32072196796334,3701282,589477,23258,90.0,70.0
Bihar,Gaya,236,24.7266541547278,84.94291217765044,4391418,112617,6856,90.0,50.0
Bihar,Nawada,237,24.825708836206903,85.61594568965519,2219146,31162,1841,90.0,50.0
Bihar,Jamui,238,24.78418380462726,86.26316298200514,1760405,32633,1839,90.0,50.0
Bihar,Jehanabad,239,25.155679045643165,84.9208124481328,1125313,27641,1106,90.0,50.0
Arunachal Pradesh,Tawang,245,27.680683962264148,91.82504245283016,49977,8635,96,70.0,50.0
Arunachal Pradesh,West Kameng,246,27.46486582278483,92.65015750452083,83947,14188,202,80.0,60.0
Arunachal Pradesh,East Kameng,247,27.371194055944056,93.04741486013997,78690,5318,57,100.0,50.0
Arunachal Pradesh,Papum Pare,248,27.273529716981127,93.54468183962264,176573,30539,2477,100.0,70.0
Arunachal Pradesh,Upper Subansiri,249,28.277196566523585,93.8991435622318,83448,5373,139,100.0,50.0
Arunachal Pradesh,West Siang,250,28.106296920289843,94.53510344202908,112274,14204,303,90.0,60.0
Arunachal Pradesh,East Siang,251,28.15382352941176,95.06499226006191,99214,14231,450,100.0,60.0
Arunachal Pradesh,Upper Siang,252,28.8309244897959,95.00155765306124,35320,6198,97,90.0,50.0
Arunachal Pradesh,Changlang,253,27.36048479338845,96.37552644628106,148226,14593,170,90.0,50.0
Arunachal Pradesh,Tirap,254,26.94406229508198,95.41470327868862,111975,16026,98,90.0,40.0
Arunachal Pradesh,Lower Subansiri,255,27.70849297297297,93.96226108108112,83030,12493,381,100.0,70.0
Arunachal Pradesh,Kurung Kumey,256,28.04853351800553,93.24531994459834,92076,3911,95,100.0,40.0
Arunachal Pradesh,Lower Dibang Valley,258,28.32651730103806,95.76567335640142,54080,5932,207,90.0,60.0
Arunachal Pradesh,Lohit,259,27.946785273972623,96.59670770547945,145726,17157,312,90.0,60.0
Nagaland,Mon,261,26.69207374301676,95.03072988826828,250260,14398,178,90.0,50.0
Nagaland,Mokokchung,262,26.478911764705888,94.522426006192,194622,40154,537,90.0,80.0
Nagaland,Zunheboto,263,26.028178205128206,94.50026666666668,140757,28846,261,100.0,70.0
Nagaland,Wokha,264,26.202611551155112,94.1990815181518,166343,25268,198,100.0,80.0
Nagaland,Dimapur,265,25.814176811594223,93.75074057971014,378811,71413,3303,90.0,70.0
Nagaland,Phek,266,25.63272986577182,94.56814563758392,163418,36182,170,100.0,60.0
Nagaland,Tuensang,267,26.21104453280316,94.85809880715708,196596,24998,155,90.0,60.0
Nagaland,Kohima,270,25.60311428571428,93.78600657596373,267988,50724,1928,90.0,70.0
Manipur,Senapati,272,25.08465586034914,94.03366234413956,479148,22798,256,90.0,60.0
Manipur,Tamenglong,273,24.98312942238265,93.49450740072204,140651,11541,125,90.0,60.0
Manipur,Churachandpur,274,24.30309718875504,93.38671506024085,274143,29894,837,100.0,70.0
Manipur,Bishnupur,275,24.50712111801243,93.8246236024845,237399,34364,676,100.0,70.0
Manipur,Thoubal,276,24.545392553191498,93.97959893617023,422168,49507,880,100.0,60.0
Manipur,Ukhrul,279,25.05900314960629,94.44129566929138,183998,14026,276,90.0,70.0
Manipur,Chandel,280,24.2635812987013,94.09443844155844,144182,18764,184,90.0,60.0
Mizoram,Mamit,281,23.73852942502819,92.4330803833147,86364,12158,90,90.0,70.0
